Crm Cd,Crm Cd Desc
354,THEFT OF IDENTITY
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
510,VEHICLE - STOLEN
310,BURGLARY
330,BURGLARY FROM VEHICLE
440,THEFT PLAIN - PETTY ($950 & UNDER)
626,INTIMATE PARTNER - SIMPLE ASSAULT
624,BATTERY - SIMPLE ASSAULT
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
520,VEHICLE - ATTEMPT STOLEN
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
210,ROBBERY
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
480,BIKE - STOLEN
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
860,BATTERY WITH SEXUAL CONTACT
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
900,VIOLATION OF COURT ORDER
648,ARSON
901,VIOLATION OF RESTRAINING ORDER
350,"THEFT, PERSON"
903,CONTEMPT OF COURT
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
220,ATTEMPTED ROBBERY
760,LEWD/LASCIVIOUS ACTS WITH CHILD
946,OTHER MISCELLANEOUS CRIME
761,BRANDISH WEAPON
888,TRESPASSING
666,"BUNCO, ATTEMPT"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
320,"BURGLARY, ATTEMPTED"
649,DOCUMENT FORGERY / STOLEN FELONY
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
890,FAILURE TO YIELD
623,BATTERY POLICE (SIMPLE)
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
237,CHILD NEGLECT (SEE 300 W.I.C.)
122,"RAPE, ATTEMPTED"
662,"BUNCO, GRAND THEFT"
954,CONTRIBUTING
805,PIMPING
625,OTHER ASSAULT
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
121,"RAPE, FORCIBLE"
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
753,DISCHARGE FIREARMS/SHOTS FIRED
940,EXTORTION
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
664,"BUNCO, PETTY THEFT"
437,RESISTING ARREST
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
813,CHILD ANNOYING (17YRS & UNDER)
251,SHOTS FIRED AT INHABITED DWELLING
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
647,THROWING OBJECT AT MOVING VEHICLE
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
820,ORAL COPULATION
815,SEXUAL PENETRATION W/FOREIGN OBJECT
762,LEWD CONDUCT
352,PICKPOCKET
922,CHILD STEALING
351,PURSE SNATCHING
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
850,INDECENT EXPOSURE
444,DISHONEST EMPLOYEE - PETTY THEFT
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
910,KIDNAPPING
886,DISTURBING THE PEACE
661,UNAUTHORIZED COMPUTER ACCESS
110,CRIMINAL HOMICIDE
441,THEFT PLAIN - ATTEMPT
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
435,LYNCHING
438,RECKLESS DRIVING
928,THREATENING PHONE CALLS/LETTERS
443,SHOPLIFTING - ATTEMPT
755,BOMB SCARE
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
763,STALKING
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
622,BATTERY ON A FIREFIGHTER
932,PEEPING TOM
439,FALSE POLICE REPORT
487,BOAT - STOLEN
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
949,ILLEGAL DUMPING
865,"DRUGS, TO A MINOR"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
113,"MANSLAUGHTER, NEGLIGENT"
450,THEFT FROM PERSON - ATTEMPT
920,KIDNAPPING - GRAND ATTEMPT
475,"THEFT, COIN MACHINE - ATTEMPT"
446,PETTY THEFT - AUTO REPAIR
652,DOCUMENT WORTHLESS ($200 & UNDER)
434,FALSE IMPRISONMENT
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
814,CHILD PORNOGRAPHY
806,PANDERING
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
943,CRUELTY TO ANIMALS
660,COUNTERFEIT
345,DISHONEST EMPLOYEE - GRAND THEFT
933,PROWLER
651,DOCUMENT WORTHLESS ($200.01 & OVER)
756,WEAPONS POSSESSION/BOMBING
349,GRAND THEFT / AUTO REPAIR
944,CONSPIRACY
353,DRUNK ROLL
436,LYNCHING - ATTEMPTED
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
880,DISRUPT SCHOOL
471,TILL TAP - PETTY ($950 & UNDER)
452,"PICKPOCKET, ATTEMPT"
347,GRAND THEFT / INSURANCE FRAUD
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
451,PURSE SNATCHING - ATTEMPT
485,BIKE - ATTEMPTED STOLEN
942,BRIBERY
870,CHILD ABANDONMENT
924,TELEPHONE PROPERTY - DAMAGE
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
948,BIGAMY
884,FAILURE TO DISPERSE
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
432,BLOCKING DOOR INDUCTION CENTER
882,INCITING A RIOT
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
926,TRAIN WRECKING
453,DRUNK ROLL - ATTEMPT
